job_id,learner,task,measure,batch_nr,errors,warnings,ce,bacc,logloss,auc,mcc,cost,degree,gamma,kernel,runtime_learners,timestamp,y_trafo,acq_log_ei,.already_evaluated,x_domain_cost,x_domain_gamma,x_domain_kernel,x_domain_degree
235,svm,breast-w,auc,315,0,0,0.0443478260869565,0.943648550724638,0.119805386105325,0.995914251207729,0.902649030057463,-6.61880033194617,3,-0.153779870182352,polynomial,227.249,2024-07-11T01:01:21.856920Z,-6.90875477931522,5.40737895929818e-05,FALSE,0.00133503158004382,0.857460752917115,polynomial,3
242,svm,breast-w,mcc,274,0,0,0.0300414078674948,0.972095410628019,0.12659803165856,0.993833977455717,0.935987208564958,-8.05278773569898,,-9.041997077905,radial,331.095000000001,2024-07-11T01:38:28.049932Z,-6.90875477931527,0.000112752334325841,FALSE,0.000318213589454441,0.000118334277548583,radial,
249,svm,tic-tac-toe,ce,129,0,0,0.0167105263157895,0.98015010500779,0.0986744786143643,0.993224533215045,0.963570975711054,8.84720830421552,,-3.07209066261739,radial,352.052999999996,2024-07-10T23:53:17.199987Z,-6.90875477931522,9.972009890064e-05,FALSE,6954.94575022384,0.046324205264073,radial,
256,svm,tic-tac-toe,bacc,249,0,0,0.0167105263157895,0.98015010500779,0.098568482709464,0.993323060732928,0.963570975711054,8.00111567725625,,-3.03335436517699,radial,328.528999999997,2024-07-11T01:20:45.774395Z,-6.9087547793153,7.9646651582301e-08,FALSE,2984.28563001232,0.0481538413464835,radial,
263,svm,tic-tac-toe,logloss,331,0,0,0.0271491228070175,0.970093658186637,0.0843818571948975,0.995223560261511,0.940746689440522,7.44574779861967,,-2.30983718365783,radial,262.310999999996,2024-07-11T02:04:20.757741Z,-6.90875477931522,3.54854291680969e-06,FALSE,1712.565467529,0.0992774142292814,radial,
270,svm,tic-tac-toe,auc,244,0,0,0.0292324561403509,0.968493555780083,0.0858982544537793,0.995367198687882,0.936296203589775,8.97711548088411,,-2.25204222444577,radial,201.688999999995,2024-07-11T00:20:51.678749Z,-6.90875477931515,2.16759820879547e-05,FALSE,7919.75445272553,0.105184195332608,radial,
277,svm,tic-tac-toe,mcc,176,0,0,0.0167105263157895,0.98015010500779,0.095392614898649,0.9932741848776,0.963570975711054,7.97941886655999,,-3.04190829965152,radial,348.658000000003,2024-07-10T23:46:01.273103Z,-6.90875477931518,6.54470689896253e-05,FALSE,2920.23352552673,0.047743693233817,radial,
284,svm,Australian,ce,181,0,0,0.133333333333333,0.868145923120456,0.337493199558867,0.928124882097718,0.734634708643003,-6.82094844879558,,,linear,321.499000000003,2024-07-10T23:49:42.579481Z,-6.90875477931521,0.000103527828568099,FALSE,0.00109068597176203,,linear,
291,svm,Australian,bacc,264,0,0,0.130434782608696,0.874294545296243,0.337301451815144,0.933475831845951,0.744929150199705,2.98228756044357,,-5.44602767137255,radial,211.739,2024-07-11T00:28:22.209524Z,-6.90875477931534,3.98450676961885e-06,FALSE,19.7329052671517,0.0043134049663388,radial,
298,svm,Australian,logloss,372,0,0,0.136231884057971,0.862456575682382,0.327385428114042,0.934661965086413,0.726237022227854,3.9492351538942,,-5.27298687494385,radial,273.497999999998,2024-07-11T01:18:01.194509Z,-6.90875477931529,5.83104703151351e-05,FALSE,51.8956594587064,0.00512827017282222,radial,
305,svm,Australian,auc,349,0,0,0.143478260869565,0.863498759305211,0.358439278465158,0.935257353474671,0.726183325913947,1.11630858101822,,-5.46291547262738,radial,205.355,2024-07-11T01:28:25.080683Z,-6.90875477931526,6.96187745519058e-06,FALSE,3.05356139837133,0.00424117267948741,radial,
312,svm,Australian,mcc,357,0,0,0.127536231884058,0.876858647860346,0.336384157959915,0.933134531946077,0.750237335368282,2.79318954664261,,-5.34367913660132,radial,166.296999999995,2024-07-11T01:33:34.061295Z,-6.90875477931521,9.18206044267546e-07,FALSE,16.333031777052,0.00477825846562463,radial,
319,svm,credit-approval,ce,290,0,0,0.123188405797101,0.878949545078577,0.343786938045462,0.928917330547212,0.755771267418415,0.877273711513404,,-8.50648237528245,radial,333.027,2024-07-11T01:56:25.282607Z,-6.90875477931523,1.29492516123308e-05,FALSE,2.40433584985413,0.000202153676453618,radial,
326,svm,credit-approval,bacc,351,0,0,0.120289855072464,0.881479909451047,0.344266872369779,0.929258630447085,0.76153965794016,-0.621812689259383,,-6.34525919023917,sigmoid,227.378000000001,2024-07-11T01:25:37.996785Z,-6.90875477931526,3.9854083770398e-07,FALSE,0.536970194757033,0.00175504779250386,sigmoid,
333,svm,credit-approval,logloss,337,0,0,0.13768115942029,0.868572330329546,0.340139649670001,0.930870953230885,0.733915799713738,0.0733303419596796,,-6.47094528402386,sigmoid,184.095999999996,2024-07-11T01:18:49.532473Z,-6.90875477931525,2.89375944877162e-05,FALSE,1.0760859545498,0.00154776196653896,sigmoid,
340,svm,credit-approval,auc,292,0,0,0.143478260869565,0.86376126420269,0.383168006669127,0.933419964302817,0.724939759702709,3.09580426371336,,-8.34611240170099,radial,370.148000000003,2024-07-11T01:49:11.598011Z,-6.90875477931515,9.18403177695865e-06,FALSE,22.1050096474011,0.000237317321828735,radial,
347,svm,credit-approval,mcc,335,0,0,0.123188405797101,0.877849462365591,0.345449321850828,0.929680756896377,0.755078423627291,-3.04963225926714,,-3.95217497110453,sigmoid,258.327000000001,2024-07-11T02:16:41.608220Z,-6.9087547793152,1.36790832531481e-05,FALSE,0.047376343399347,0.0192128688645761,sigmoid,
354,svm,climate-model-simulation-crashes,ce,202,0,0,0.037037037037037,0.812,0.126818965196695,0.949530612244898,0.729538485146437,-0.270106441313051,,-8.57528538552842,radial,409.325000000003,2024-07-11T00:20:07.844381Z,-6.9087547793152,9.20072675254898e-05,FALSE,0.763298243545417,0.000188712590495592,radial,
361,svm,climate-model-simulation-crashes,bacc,348,0,0,0.111111111111111,0.889387755102041,0.267234913113521,0.949897959183673,0.598621864614516,-3.68836861784331,,-8.94227126059993,radial,112.191999999999,2024-07-11T08:27:46.231891Z,-6.9087547793152,1.03100635242583e-19,FALSE,0.0250127741692424,0.000130743749569729,radial,
368,svm,climate-model-simulation-crashes,logloss,349,0,0,0.0388888888888889,0.802,0.123909340267921,0.949438775510204,0.715006886261399,-0.263266972750947,,-8.54140130818641,radial,124.542999999998,2024-07-11T08:27:34.748724Z,-6.90875477931525,8.86377184692741e-05,FALSE,0.768536691565457,0.000195216509894099,radial,
375,svm,climate-model-simulation-crashes,auc,154,0,0,0.0462962962962963,0.7595,0.136435479114395,0.954581632653061,0.651175066664557,2.56444824478382,,,linear,113.003999999999,2024-07-11T10:53:20.700653Z,-6.90875477931514,4.06236945755927e-05,FALSE,12.9934871671575,,linear,
382,svm,climate-model-simulation-crashes,mcc,362,0,0,0.037037037037037,0.812,0.128985477152988,0.94730612244898,0.729538485146437,-0.225186233515692,,-8.25375734031597,radial,111.358999999999,2024-07-15T10:19:20.255046Z,-6.90875477931518,1.43466446980988e-09,FALSE,0.798367522123199,0.000260278761856587,radial,
389,svm,kc2,ce,253,0,0,0.147496371552975,0.675677330799282,0.403161161553402,0.800083940449794,0.481344391254215,-1.5666486797292,,-4.53500574196931,radial,120.953000000002,2024-07-16T10:26:40.231046Z,-6.90875477931508,8.58591486776922e-05,FALSE,0.208743578013996,0.0107268456331181,radial,
396,svm,kc2,bacc,393,0,0,0.16088534107402,0.750609756097561,0.379474687674774,0.846043712385176,0.51234263854311,-9.04358296691568,,-3.76398705737274,sigmoid,122.978000000001,2024-07-16T11:14:05.259617Z,-6.90875477931521,2.68615115809231e-12,FALSE,0.000118146761247553,0.0231910915869205,sigmoid,
403,svm,kc2,logloss,237,0,0,0.15700290275762,0.707819132087425,0.367119695492557,0.847179812057861,0.469399661281599,-1.69546456750339,,-4.61993270056637,sigmoid,109.078,2024-07-18T09:46:10.256730Z,-6.90875477931533,3.31318199282105e-09,FALSE,0.183513954601661,0.00985345917109508,sigmoid,
410,svm,kc2,auc,288,0,0,0.197314949201742,0.518636363636364,0.49524715956082,0.850192957449055,0.109862563738451,-5.96642633834273,5,-8.51117651943209,polynomial,114.522000000002,2024-07-18T10:06:19.911363Z,-6.90875477931522,1.36092249334956e-05,FALSE,0.00256338574324406,0.000201206961702125,polynomial,5
417,svm,kc2,mcc,322,0,0,0.164731494920174,0.748654313166508,0.386446407250865,0.846038433111604,0.504724221187674,-9.17664477887651,,-3.77222800515719,sigmoid,89.4310000000005,2024-07-11T21:02:24.280293Z,-6.90875477931523,3.25304013148188e-12,FALSE,0.000103426971996414,0.0230007603441709,sigmoid,
424,svm,analcatdata_dmft,ce,299,0,0,0.760268987341772,0.227254273504274,1.76599170999129,0.601618045771892,0.0879643291894028,-0.769682023504113,,-6.17485929191929,radial,83.8009999999959,2024-07-11T22:34:24.886997Z,-6.90875477931556,4.98838443398191e-05,FALSE,0.463160318994127,0.00208109872425617,radial,
431,svm,analcatdata_dmft,bacc,283,0,0,0.746487341772152,0.24590583028083,1.75484240916366,0.611087025687987,0.101328999973776,-1.45175689969903,,-2.5427967677495,radial,93.4750000000004,2024-07-11T22:07:52.384187Z,-6.90875477931513,5.10806550794627e-16,FALSE,0.234158533436974,0.0786461369428088,radial,
438,svm,analcatdata_dmft,logloss,337,0,0,0.784050632911392,0.215637973137973,1.74719330422155,0.619686560768292,0.0588420747691381,2.32230891581562,,-7.94799698177408,radial,104.530999999999,2024-07-11T22:34:36.728444Z,-6.90875477931481,6.575062950099e-05,FALSE,10.1991962260299,0.000353369261298947,radial,
445,svm,analcatdata_dmft,auc,288,0,0,0.777784810126582,0.219146825396825,1.74846135106258,0.625516111737266,0.0643295481137629,-1.54894769036597,,-4.25310908740899,radial,102.178999999996,2024-07-11T22:31:41.326408Z,-6.90875477931546,8.80683782981286e-08,FALSE,0.212471441972625,0.0142199540296306,radial,
452,svm,analcatdata_dmft,mcc,294,0,0,0.751487341772152,0.240776098901099,1.75226351789388,0.611811159638083,0.095634827690706,-1.52690897722288,,-2.79763041415341,radial,87.1400000000103,2024-07-11T22:24:39.228911Z,-6.90875477931522,1.14858917122253e-06,FALSE,0.217206019498937,0.06095432814621,radial,
459,svm,wdbc,ce,138,0,0,0.0175438596491228,0.977507215007215,0.0791519860861769,0.99537999037999,0.963060110348683,3.01797326699145,,-5.53124840239237,sigmoid,104.589,2024-07-11T20:02:51.593966Z,-6.90875477931522,0.000142721646446518,FALSE,20.4498033640244,0.00396104102805238,sigmoid,
466,svm,wdbc,bacc,10,0,0,0.0175438596491228,0.978499278499278,0.0787460225012411,0.995122655122655,0.962657215073624,0.939672843425073,,-5.77436313900879,radial,121.217,2024-07-18T08:37:06.822630Z,-6.90875477931518,,,2.55914404056086,0.00310617523069952,radial,
473,svm,wdbc,logloss,159,0,0,0.0228070175438597,0.974292929292929,0.0649031736493015,0.996305916305916,0.951657804110194,1.58101595511326,,-4.06778308303802,radial,112.660000000001,2024-07-18T09:17:58.256030Z,-6.90875477931523,4.07671623290769e-05,FALSE,4.85989073482446,0.0171152896560601,radial,
480,svm,wdbc,auc,249,0,0,0.0263157894736842,0.968647186147186,0.0753600735984216,0.996435786435786,0.944719983113494,4.06008917144848,,-5.64810734597245,radial,108.074000000001,2024-07-18T09:46:12.452261Z,-6.90875477931516,4.8728355808267e-05,FALSE,57.9794809627523,0.00352418052129715,radial,
487,svm,wdbc,mcc,17,0,0,0.0175438596491228,0.978499278499278,0.0822885025629848,0.99472582972583,0.962657215073624,-4.60735413789721,,,linear,123.176,2024-07-18T08:38:49.257744Z,-6.90875477931524,,,0.00997818431178689,,linear,
