job_id,learner,task,measure,batch_nr,errors,warnings,ce,bacc,logloss,auc,mcc,alpha,lambda,x_domain_alpha,x_domain_lambda,runtime_learners,timestamp,y_trafo,acq_log_ei,.already_evaluated
8,glmnet,blood-transfusion-service-center,bacc,5,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.498884409354068,5.38940406261788,0.498884409354068,219.072792978579,264.885,2024-07-10T21:53:57.754601Z,0,,
8,glmnet,blood-transfusion-service-center,bacc,6,0,0,0.228612612612613,0.540677674578603,0.477393147027524,0.755595688567825,0.172708074753789,0.690871234685183,-5.09414362180184,0.690871234685183,0.00613255617413997,431.947,2024-07-10T21:54:44.465486Z,-2.04065252555637,,
8,glmnet,blood-transfusion-service-center,bacc,7,0,0,0.227243243243243,0.528250773993808,0.489974432390816,0.757522073156748,0.161105625841262,0.0653775590844453,-2.39762947209841,0.0653775590844453,0.0909332578207361,377.033,2024-07-10T21:55:26.212535Z,-0.926989577251935,,
8,glmnet,blood-transfusion-service-center,bacc,8,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.409506190540269,7.73580429393944,0.409506190540269,2288.84887144521,366.971,2024-07-10T21:56:08.019900Z,0,,
8,glmnet,blood-transfusion-service-center,bacc,9,0,0,0.237945945945946,0.5,0.525539543334874,0.731518747850017,0,0.273631255570799,-1.48733634122686,0.273631255570799,0.225973771619238,368.222,2024-07-10T21:56:52.787950Z,0,,
8,glmnet,blood-transfusion-service-center,bacc,10,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.570796919781715,0.305285380309864,0.570796919781715,1.35701221231828,320.908,2024-07-10T21:57:31.409199Z,0,,
8,glmnet,blood-transfusion-service-center,bacc,11,0,0,0.229927927927928,0.541864465084279,0.477106850923106,0.752872377020984,0.173830105268082,0.373621792895719,-5.28365996734411,0.373621792895719,0.0050738267281974,365.585,2024-07-10T21:58:09.666964Z,-2.25799812457519,,
8,glmnet,blood-transfusion-service-center,bacc,12,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.294683977491222,3.06293484499346,0.294683977491222,21.3902421767936,394.276,2024-07-10T21:58:58.718930Z,0,,
8,glmnet,blood-transfusion-service-center,bacc,13,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.259476201105863,6.73892669016139,0.259476201105863,844.653674060357,389.181,2024-07-10T21:59:42.607439Z,0,,
8,glmnet,blood-transfusion-service-center,bacc,14,0,0,0.237945945945946,0.5,0.548711476862306,0.5,0,0.658239086922258,3.92463664889531,0.658239086922258,50.6346765502765,365.261,2024-07-10T22:00:22.921945Z,0,,
